"ward" "shift" "year" "month" "cr" "tot" "X" "Y"
"203" 1 "EVENING" 2016 5 "THEFT/OTHER" 1 -77.03086144 38.92243177
"204" 2 "EVENING" 2016 5 "THEFT/OTHER" 1 -77.03196205 38.90804516
"205" 7 "EVENING" 2016 5 "THEFT/OTHER" 1 -76.94697752 38.89335387
"206" 4 "EVENING" 2016 5 "THEFT/OTHER" 1 -77.0107214 38.9627024
"207" 2 "EVENING" 2016 5 "THEFT/OTHER" 1 -77.04996762 38.90304822
"208" 7 "EVENING" 2016 5 "BURGLARY" 1 -76.9738695 38.89554301
"209" 6 "EVENING" 2016 5 "THEFT F/AUTO" 1 -77.00131615 38.88127665
"210" 8 "EVENING" 2016 5 "THEFT/OTHER" 1 -76.99789419 38.84700863
"211" 6 "EVENING" 2016 5 "THEFT F/AUTO" 1 -77.00839448 38.89720317
"212" 6 "EVENING" 2016 5 "ASSAULT W/DANGEROUS WEAPON" 1 -76.99618723 38.8853574
"213" 8 "EVENING" 2016 5 "MOTOR VEHICLE THEFT" 1 -77.00889252 38.82360433
"214" 4 "EVENING" 2016 5 "THEFT/OTHER" 1 -77.02459355 38.93815276
"215" 5 "EVENING" 2016 5 "THEFT F/AUTO" 1 -76.99376364 38.9215889
"216" 8 "EVENING" 2016 5 "ASSAULT W/DANGEROUS WEAPON" 1 -76.9864791 38.84241355
"217" 2 "EVENING" 2016 5 "THEFT/OTHER" 1 -77.02885668 38.89831694
"218" 6 "EVENING" 2016 5 "THEFT F/AUTO" 1 -76.98077672 38.88712152
"219" 6 "EVENING" 2016 5 "THEFT F/AUTO" 1 -77.01568118 38.90252636
"220" 6 "EVENING" 2016 5 "BURGLARY" 1 -77.00906802 38.90517326
"221" 8 "EVENING" 2016 5 "ROBBERY" 1 -76.99287193 38.84392754
"222" 5 "EVENING" 2016 5 "MOTOR VEHICLE THEFT" 1 -76.99845696 38.92504825
"223" 5 "EVENING" 2016 5 "ROBBERY" 1 -76.97933186 38.94107221
"224" 1 "MIDNIGHT" 2016 5 "THEFT/OTHER" 1 -77.04469985 38.92278763
"225" 8 "MIDNIGHT" 2016 5 "ASSAULT W/DANGEROUS WEAPON" 1 -77.01017101 38.82519873
"226" 6 "MIDNIGHT" 2016 6 "THEFT/OTHER" 1 -77.00839448 38.89720317
"227" 6 "MIDNIGHT" 2016 6 "ASSAULT W/DANGEROUS WEAPON" 1 -77.01424682 38.87841112
"228" 4 "MIDNIGHT" 2016 6 "ASSAULT W/DANGEROUS WEAPON" 1 -77.02341005 38.95198072
"229" 5 "MIDNIGHT" 2016 6 "THEFT F/AUTO" 1 -76.97444791 38.92204569
"230" 7 "DAY" 2016 3 "THEFT F/AUTO" 1 -76.92621127 38.88791956
"231" 5 "DAY" 2016 3 "THEFT/OTHER" 1 -76.97994279 38.90155279
"232" 8 "DAY" 2016 3 "MOTOR VEHICLE THEFT" 1 -77.00130371 38.83096458
"233" 6 "EVENING" 2016 3 "ROBBERY" 1 -76.99731621 38.90020323
"234" 7 "DAY" 2016 3 "THEFT/OTHER" 1 -76.93116885 38.89852544
"235" 8 "DAY" 2016 3 "THEFT/OTHER" 1 -76.99723763 38.84529701
"236" 5 "DAY" 2016 3 "THEFT/OTHER" 1 -76.98192589 38.90074236
"237" 3 "DAY" 2016 3 "THEFT/OTHER" 1 -77.08030551 38.949253
"238" 2 "DAY" 2016 3 "ASSAULT W/DANGEROUS WEAPON" 1 -77.0627881 38.90369964
"239" 5 "DAY" 2016 3 "THEFT F/AUTO" 1 -76.96987735 38.9314583
"240" 6 "DAY" 2016 3 "THEFT/OTHER" 1 -76.97842173 38.89925539
"241" 3 "DAY" 2016 3 "THEFT/OTHER" 1 -77.08530189 38.95991525
"242" 6 "DAY" 2016 3 "THEFT F/AUTO" 1 -77.01990407 38.91477707
"243" 6 "EVENING" 2016 3 "THEFT F/AUTO" 1 -77.01990518 38.87743739
"244" 1 "EVENING" 2016 3 "BURGLARY" 1 -77.02431258 38.92600962
"245" 8 "EVENING" 2016 3 "THEFT F/AUTO" 1 -76.99682291 38.84586453
"246" 1 "EVENING" 2016 3 "BURGLARY" 1 -77.03969345 38.91997884
"247" 2 "EVENING" 2016 3 "THEFT/OTHER" 1 -77.06399993 38.90515834
"248" 6 "EVENING" 2016 3 "THEFT F/AUTO" 1 -77.00278047 38.89733856
"249" 5 "EVENING" 2016 3 "ROBBERY" 1 -76.99952952 38.9168777
"250" 6 "EVENING" 2016 3 "THEFT/OTHER" 1 -76.97879101 38.89795825
"251" 8 "EVENING" 2016 3 "THEFT/OTHER" 1 -76.99666168 38.8450898
"252" 7 "EVENING" 2016 3 "THEFT/OTHER" 1 -76.93786178 38.8775757
"253" 5 "EVENING" 2016 4 "ROBBERY" 1 -77.00057886 38.92076029
"254" 6 "EVENING" 2016 4 "THEFT F/AUTO" 1 -77.01086287 38.9067248
"255" 8 "EVENING" 2016 4 "THEFT/OTHER" 1 -76.97470379 38.85085251
"256" 8 "EVENING" 2016 4 "ASSAULT W/DANGEROUS WEAPON" 1 -76.99756019 38.84486461
"257" 5 "EVENING" 2016 4 "THEFT/OTHER" 1 -76.99929875 38.93190358
"258" 8 "EVENING" 2016 3 "THEFT/OTHER" 1 -76.98558863 38.85981775
"259" 1 "MIDNIGHT" 2016 4 "BURGLARY" 1 -77.02397487 38.9162807
"260" 1 "MIDNIGHT" 2016 4 "ROBBERY" 1 -77.01938668 38.9202272
"261" 6 "MIDNIGHT" 2016 4 "ROBBERY" 1 -76.97813677 38.8886705
"262" 7 "MIDNIGHT" 2016 4 "MOTOR VEHICLE THEFT" 1 -76.93350094 38.89482435
"263" 7 "MIDNIGHT" 2016 4 "ASSAULT W/DANGEROUS WEAPON" 1 -76.91093207 38.89345807
"264" 8 "MIDNIGHT" 2016 4 "THEFT/OTHER" 1 -76.98774752 38.83459436
"265" 4 "DAY" 2016 4 "THEFT/OTHER" 1 -77.02731612 38.96945589
"266" 5 "DAY" 2016 4 "MOTOR VEHICLE THEFT" 1 -76.99706063 38.94775814
"267" 8 "DAY" 2016 4 "THEFT/OTHER" 1 -76.99819377 38.84411692
"268" 3 "DAY" 2016 4 "THEFT F/AUTO" 1 -77.06828524 38.94968402
"269" 5 "DAY" 2016 4 "MOTOR VEHICLE THEFT" 1 -76.98934935 38.90593208
"270" 7 "MIDNIGHT" 2016 6 "ASSAULT W/DANGEROUS WEAPON" 1 -76.92923606 38.89458763
"271" 6 "MIDNIGHT" 2016 6 "THEFT/OTHER" 1 -76.99496481 38.89511342
"272" 8 "MIDNIGHT" 2016 6 "MOTOR VEHICLE THEFT" 1 -76.99546394 38.84074769
"273" 7 "EVENING" 2016 6 "BURGLARY" 1 -76.94142265 38.89189186
"274" 3 "DAY" 2016 6 "MOTOR VEHICLE THEFT" 1 -77.06864375 38.93862164
